,title,authors,paper_url,code_url,poster_url,github,live,gh_full_path,missing_http,labeled_url
201,Scalable Planning with Tensorflow for Hybrid Nonlinear Domains,Ga Wu · Buser Say · Scott Sanner,http://papers.nips.cc/paper/by-source-2017-3164,https://github.com/wuga214/TOOLBOX-Learning-and-Planning-through-Backpropagation,https://github.com/wuga214/TOOLBOX-Learning-and-Planning-through-Backpropagation/blob/master/POSTER.pdf,TRUE,TRUE,TRUE,FALSE,https://github.com/wuga214/PAPER_NIPS17_ScalablePlanning_Tensorflow
413,A-NICE-MC: Adversarial Training for MCMC,Jiaming Song · Shengjia Zhao · Stefano Ermon,http://papers.nips.cc/paper/by-source-2017-2661,https://github.com/jiamings/a-nice-mc,,TRUE,TRUE,TRUE,FALSE,https://github.com/ermongroup/a-nice-mc
649,Multiresolution Kernel Approximation for Gaussian Process Regression,Yi Ding · Risi Kondor · Jonathan Eskreis-Winkler,http://papers.nips.cc/paper/by-source-2017-2082,https://github.com/yiding2012/MKA,http://people.cs.uchicago.edu/~dingy/posters/NIPS17_poster.pdf,TRUE,TRUE,TRUE,FALSE,https://github.com/y-ding/MKA
