,description,stargazers,watchers,forks,languages,repositoryTopics,n_languages,no_code,primary_language,Python,Julia,R,r2d_capable,larger_library,main_repo
https://github.com/tensorflow/models/tree/master/research/pcl_rl,Models and examples built with TensorFlow,41047,2562,22816,"['Python', 'Jupyter Notebook', 'C++', 'HTML', 'Shell', 'JavaScript', 'Dockerfile', 'Makefile', 'GLSL']",[],9,False,Python,True,False,False,False,True,False
https://github.com/tensorflow/models/tree/master/research/rebar,Models and examples built with TensorFlow,41047,2562,22816,"['Python', 'Jupyter Notebook', 'C++', 'HTML', 'Shell', 'JavaScript', 'Dockerfile', 'Makefile', 'GLSL']",[],9,False,Python,True,False,False,False,True,False
https://github.com/tensorflow/models/tree/master/research/fivo,Models and examples built with TensorFlow,41047,2562,22816,"['Python', 'Jupyter Notebook', 'C++', 'HTML', 'Shell', 'JavaScript', 'Dockerfile', 'Makefile', 'GLSL']",[],9,False,Python,True,False,False,False,True,False
